"","GSM524151.CEL.gz","GSM524152.CEL.gz","GSM524153.CEL.gz","GSM524154.CEL.gz","GSM524155.CEL.gz","GSM524156.CEL.gz","GSM524157.CEL.gz","GSM524158.CEL.gz","GSM524159.CEL.gz","GSM524160.CEL.gz","GSM524161.CEL.gz","GSM524162.CEL.gz","GSM524163.CEL.gz","GSM524164.CEL.gz","GSM524165.CEL.gz","GSM524166.CEL.gz","GSM524167.CEL.gz","GSM524168.CEL.gz","GSM524169.CEL.gz","GSM524170.CEL.gz"
"KCNG3",9.49073994283483,9.89506474112943,8.14154695908422,8.66200108953055,8.31627749431257,8.09015398399666,9.27766088761201,8.97568811859067,9.41761605849848,9.24953242411326,7.8101954631331,7.85200568314956,7.32347221889846,7.78724568712286,7.85957662961442,7.62390528837563,8.31266835016357,8.68727398008522,7.50599227796922,8.75040060201394
"DTX1",6.44706184340371,5.71525924180619,6.43274374754782,6.09045834290301,5.71414108301542,5.44933079543894,5.73797044671633,5.99826257404614,5.09332964716727,5.50480451814172,6.18051506460726,7.10822524743748,6.89492934607259,6.39519386872687,6.50485249872845,8.38540169910013,7.12040478332232,6.65525934595484,6.44395747655248,6.51000231431408
"EDN3",10.7948277832635,11.5186429564248,10.2853427340117,10.6868531252419,11.1105427496889,10.8479625766443,10.9820836597705,9.76800818386643,11.2124403932619,11.5432851171938,9.44458236500974,7.1235928139817,8.46978599104321,10.1527267191249,8.59759837230882,9.16946538476487,9.54769685143412,10.7684170805397,10.3498064375196,10.0356803963476
"ERICH5",10.0861468760615,9.51416936852326,8.30602901327314,8.51187968469388,8.47695780301447,9.03565741129415,9.21959572414269,8.80955438773531,9.07236451528427,9.14724465285785,8.64415007938641,7.26239057156311,7.53157822317834,8.0323396183872,7.68844406619506,7.47055772604609,8.41889819753981,8.25351719367213,8.5832491966161,7.64916936629927
"ALB",5.84473041859227,5.44588156198375,7.57226987311527,3.43121459907907,5.46461668181819,7.17235100320214,6.31322360271062,5.53460931915582,5.49756053725453,4.97238693396221,7.05245852069979,9.00645638530928,8.36841463805503,6.69056704034008,7.4904190564513,5.72843573608099,8.47274737464272,6.78687762266414,7.86483327369988,8.15027283257452
"FGL1",9.85645527573754,6.57632695985678,9.01113165694193,6.90423611771124,8.43188750466459,10.0207237600017,8.78565642101567,9.24921291941417,8.53770760704976,7.46054327884337,9.37812819885439,9.45088357537701,12.1417690365052,10.1957475276618,9.38978811860142,9.5867292765898,10.8479854296914,9.4850063079563,10.9086738369073,9.5540918742387
"CELA3B",12.1874234479604,9.58515963690668,12.6381026175925,9.65958586968079,12.1356426803901,12.4971140059708,12.7840094220994,10.400976341677,11.6494463236992,11.1976189277127,12.118392036452,13.7542393853601,13.2165821337586,12.5103040588328,13.414796352915,12.166770395541,13.5296917744996,12.6080763611193,12.7257761023448,12.7923512986028
"SLC24A2",8.12148010555087,5.53880101121877,4.11940005544834,5.59219312671383,6.82386336350764,6.88789095034437,6.16979297828681,6.99288206433884,5.43251670346844,7.44249967710937,7.13046952437907,7.7777289053148,9.01949413143838,8.68067783038643,7.58016843248227,8.61465966234502,7.81943964406772,9.33962769306522,6.36885239903468,9.18497355847519
"PCOLCE2",4.02197179182905,3.9928608415423,3.60600242642821,5.18434060664406,4.73706970565323,4.10421154907471,3.51797315618773,3.45898495519953,4.7147251860314,4.97593337206592,5.08807753443751,7.30940448821725,4.88741716069415,7.88847023193336,4.93959838582823,7.05134266807283,6.37170181481803,7.74786542278535,7.09196683220938,7.49237155770078
"DKK3",7.11128118510568,5.7387414760855,5.68830498593911,7.33082903950214,6.21323928654392,7.61011615818185,6.52695732258243,6.30620577411779,6.92167922598441,7.54612163481464,8.11489975411211,8.74129927360259,9.24811060157488,8.73085955614565,7.89247073844117,9.17816857954773,7.56251758898499,9.5183600963471,7.81738357131018,7.78672430527513
