"","GSM524151.CEL.gz","GSM524152.CEL.gz","GSM524153.CEL.gz","GSM524154.CEL.gz","GSM524155.CEL.gz","GSM524156.CEL.gz","GSM524157.CEL.gz","GSM524158.CEL.gz","GSM524159.CEL.gz","GSM524160.CEL.gz","GSM524161.CEL.gz","GSM524162.CEL.gz","GSM524163.CEL.gz","GSM524164.CEL.gz","GSM524165.CEL.gz","GSM524166.CEL.gz","GSM524167.CEL.gz","GSM524168.CEL.gz","GSM524169.CEL.gz","GSM524170.CEL.gz"
"Hs.167791.2.S1_3p_a_at",2.61977672896443,2.64319378264171,2.90495082022078,2.9144803645279,4.19720927555893,4.31740960245027,5.29185839389085,3.79427247762608,4.58496532454417,5.59534482281173,3.03668826431493,2.91421497144196,3.09314995471165,3.05259509608163,3.18738099702997,4.88499741892632,4.1356862441796,4.99581601507054,4.922899820922,4.7254076881512
"Hs.199961.0.A1_3p_at",4.03342315132775,3.92300770968965,4.22653746139215,5.37007765545028,5.23012026531653,4.37773539902889,4.46117032896132,5.72489016279241,5.10984099266458,4.89673527587747,4.74804329630164,3.8054683697619,5.09007875071235,4.26431515391199,3.97862496235867,4.55064329167092,5.64827513908027,5.22431781144859,4.50525186873335,4.32267905427438
"Hs2.181340.1.S1_3p_s_at",3.72168778218392,3.5393475891796,3.86366354514562,3.45188653379018,4.31967007480808,4.95238298458912,3.17855022759807,5.74843380331928,4.52935335126442,4.93241055072436,3.9747084227638,3.7256012559905,4.05065301610047,3.81746803999133,3.58637213683567,2.95181981646332,3.90946539507675,3.01287496140416,6.89044608575561,5.78125021494313
"Hs.120414.0.A1_3p_at",4.72122454137709,5.22637085281777,4.89221421545903,4.49344529888661,4.75261015242708,3.56091617561248,5.24637164841728,6.71892456961157,5.29358606330223,4.92073654182463,6.22752427686678,3.33666839818274,2.87872665520626,4.3168587659197,4.36599228590334,4.8023850096862,5.47896906250296,5.84795312091593,5.11343209798728,3.99998458370891
"Hs.270555.0.S1_3p_at",7.49017776704367,8.1029458048158,7.2016400334396,7.09651747143138,8.25377527321362,8.50247555274313,8.00749130432477,8.75503190052097,7.92137690675782,8.69455178552713,6.80944009114565,6.34709176400962,7.09530308746218,7.68265480979075,7.2016400334396,8.14652056797559,8.35825815284369,9.04053931817193,8.71438667626921,7.08657325199253
"Hs2.352606.1.S1_3p_at",4.82586032676083,5.26662276112621,3.92450665141481,4.53294111319813,4.84043186492016,6.26668994771919,5.66580819929547,5.38186321286363,6.21758096769694,5.77823923021442,5.09249526298035,4.29175134680859,4.28755400203581,4.42836212777814,4.84955102385357,5.416770648053,6.10219213447081,5.89460782762882,5.96059837914952,5.31951668856308
"Hs.265499.0.A1_3p_a_at",7.90812772181729,6.51157222607406,8.04427483569111,7.29543349872698,8.73481776211704,8.4882198634698,7.0637995654509,8.96177428255312,8.37455503070735,8.51579399865152,8.65117640336185,8.75535862666052,7.56584641569387,7.64879582455623,9.04542268695608,9.02625287259331,8.70940644529234,8.76615938777199,7.32714109063434,6.07838030091771
"Hs.203772.1.S1_3p_x_at",6.56865880914633,7.37766115338502,6.14473920171208,6.56127146942617,6.81376608087902,7.59445520815418,7.21864033561877,6.48051179342166,7.20827426526387,7.78917580263023,7.86792239272928,7.19321707680556,7.48589236139135,7.10364116013401,6.7708153653128,7.03020237148622,7.07698944757571,7.10280835460825,8.08476107491718,5.6491309111685
"Hs.149474.0.A1_3p_at",7.59911094617151,6.42580690052403,6.18019682170233,6.90888468927156,6.86507125710845,7.29714730642529,7.39588275396506,7.87000156438691,7.38103323602291,7.08510812410952,7.58022572187645,6.14816987481653,5.44566341311923,6.78514531557913,6.30025219424966,6.61965726193862,7.0713372858165,8.1658672124825,7.26368673198397,6.92232620481014
"Hs.87409.1.S1_3p_at",7.76745734091791,8.29822881911582,7.30643629806411,7.66658834022758,6.462278261446,6.00592556907056,6.36704948785315,7.47327578287174,6.80117239686282,7.39819630307606,7.30513714681381,6.8010327378962,6.95241116621417,7.48400662437235,6.36762522603505,7.262378886092,5.64724695190752,7.10990425178804,6.26405813746095,5.88142212001406
"g4502726_3p_at",4.39771289124452,4.02139595567106,4.16562156466978,5.08489289515682,5.48812933121305,5.08807753443751,6.18222197013599,4.83927383854399,4.88760879268373,3.8586770970219,4.69847142722752,4.52685920587439,4.3717273518065,4.49256452895485,5.672823791379,6.5012973618718,3.93433494065335,3.78328249818097,3.59453300172982,3.30674132025375
"Hs2.349570.1.S1_3p_x_at",8.93106035654584,9.32323632162276,9.34617692288462,9.59021567690351,8.76283184530836,8.23608386069204,8.50668254870451,8.90632103053777,8.06510683843343,8.65822078219692,9.38137622219034,9.73442346825639,10.2407154416098,9.65574774122307,8.37391393521762,8.92400185993256,8.39661981735731,9.08721618571088,8.9514044867907,9.19625948383197
